City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
160,hammerfest,70.6634,23.6821,-6.75,73,98,3.09,NO,1701513600
161,nantucket,41.2835,-70.0995,11.08,99,100,3.09,US,1701513869
162,mount pearl,47.5166,-52.7813,5.08,96,75,4.63,CA,1701513869
163,mishelevka,52.8575,103.1719,-7.77,93,100,2.27,RU,1701513869
164,qaqortoq,60.7167,-46.0333,-3.98,80,100,2.05,GL,1701513870
165,kavaratti,10.5669,72.642,28.42,78,100,5.61,IN,1701513870
166,hadibu,12.65,54.0333,26.27,70,68,7.73,YE,1701513871
167,gaoping,30.7758,106.1029,10.71,86,99,0.3,CN,1701513871
168,luderitz,-26.6481,15.1594,24.91,49,53,11.42,NA,1701513872
169,nuku'alofa,-21.1333,-175.2,26.19,94,20,3.09,TO,1701513872
170,weno,7.4515,151.8468,28.75,77,53,8.59,FM,1701513873
171,sharanga,57.1775,46.5396,-4.89,95,100,3.19,RU,1701513874
172,aras-asan,8.8908,126.3033,26.5,87,84,4.0,PH,1701513874
173,yemetsk,63.4721,41.7941,-7.36,96,100,0.56,RU,1701513875
174,vila franca do campo,37.7167,-25.4333,18.23,99,100,5.21,PT,1701513875
175,moanda,-1.5575,13.2178,23.13,94,100,0.65,GA,1701513875
176,dudinka,69.4058,86.1778,-24.66,90,6,7.26,RU,1701513876
177,kiunga,-6.1219,141.2906,23.99,98,80,1.03,PG,1701513876
178,howrah,22.5892,88.3103,29.0,54,40,4.12,IN,1701513762
179,ban lam luk ka,13.9774,100.7778,31.1,64,20,3.09,TH,1701513877
180,al muwayh,22.4333,41.7583,27.41,18,0,7.5,SA,1701513878
181,champerico,14.3,-91.9167,24.95,83,0,2.11,GT,1701513878
182,linares,-35.85,-71.6,10.35,84,92,4.01,CL,1701513879
183,callaway,30.153,-85.5699,17.73,95,75,5.14,US,1701513879
184,edson,53.5835,-116.4356,-14.92,85,20,2.57,CA,1701513880
185,amble,55.3333,-1.5833,0.08,86,20,1.03,GB,1701513881
186,gwadar,25.1216,62.3254,25.61,57,0,1.88,PK,1701513881
